index	prediction
0	0
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	0
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	0
32	1
33	1
34	1
35	1
36	1
37	1
38	0
39	1
40	1
41	1
42	0
43	0
44	1
45	0
46	1
47	0
48	1
49	1
50	1
51	0
52	1
53	0
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	0
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	0
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	0
94	1
95	0
96	1
97	1
98	0
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	0
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	0
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	0
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	0
154	1
155	0
156	1
157	1
158	1
159	1
160	1
161	0
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	0
172	0
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	0
181	1
182	0
183	1
184	1
185	1
186	0
187	0
188	1
189	0
190	1
191	1
192	1
193	1
194	1
195	0
196	1
197	1
198	1
199	1
200	0
201	1
202	1
203	0
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	0
216	0
217	0
218	1
219	1
220	1
221	0
222	1
223	0
224	1
225	0
226	1
227	1
228	0
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	0
239	0
240	0
241	1
242	0
243	0
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	0
252	1
253	1
254	1
255	1
256	0
257	0
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	0
267	1
268	1
269	1
270	1
271	0
272	1
273	1
274	1
275	0
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	0
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	0
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	0
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	0
343	0
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	0
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	0
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	0
388	1
389	0
390	0
391	1
392	1
393	1
394	1
395	0
396	0
397	1
398	1
399	1
400	1
401	1
402	1
403	1
404	1
405	1
406	0
407	0
408	1
409	1
410	1
411	1
412	1
413	0
414	1
415	0
416	1
417	1
418	0
419	1
420	1
421	1
422	1
423	1
424	1
425	1
426	1
427	1
428	1
429	1
430	0
431	0
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	0
449	1
450	0
451	1
452	1
453	1
454	1
455	1
456	1
457	1
458	0
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	0
475	1
476	1
477	1
478	1
479	1
480	1
481	0
482	1
483	0
484	1
485	1
486	1
487	0
488	1
489	0
490	1
491	1
492	1
493	1
494	0
495	1
496	1
497	1
498	0
499	1
500	1
501	1
502	1
503	0
504	1
505	1
506	0
507	1
508	1
509	1
510	0
511	1
512	0
513	1
514	1
515	1
516	0
517	1
518	1
519	1
520	0
521	1
522	1
523	1
524	0
525	0
526	0
527	1
528	0
529	0
530	1
531	1
532	1
533	1
534	0
535	1
536	1
537	1
538	1
539	1
540	1
541	1
542	1
543	1
544	1
545	0
546	1
547	0
548	1
549	1
550	1
551	0
552	1
553	1
554	1
555	1
556	1
557	1
558	0
559	0
560	1
561	0
562	1
563	0
564	0
565	1
566	0
567	1
568	1
569	1
570	1
571	1
572	1
573	0
574	1
575	1
576	1
577	1
578	1
579	1
580	0
581	1
582	1
583	1
584	0
585	0
586	0
587	0
588	1
589	0
590	1
591	0
592	1
593	1
594	1
595	0
596	1
597	1
598	1
599	1
600	1
601	1
602	1
603	1
604	1
605	1
606	1
607	0
608	0
609	1
610	1
611	0
612	1
613	0
614	1
615	0
616	1
617	1
618	1
619	1
620	1
621	1
622	1
623	1
624	1
625	0
626	1
627	1
628	0
629	1
630	1
631	1
632	1
633	1
634	1
635	1
636	1
637	1
638	1
639	1
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	1
649	1
650	1
651	1
652	0
653	1
654	0
655	0
656	1
657	1
658	1
659	1
660	1
661	1
662	1
663	0
664	1
665	1
666	1
667	1
668	1
669	1
670	0
671	0
672	1
673	1
674	1
675	1
676	0
677	1
678	1
679	0
680	0
681	0
682	0
683	1
684	1
685	1
686	0
687	0
688	1
689	1
690	0
691	1
692	0
693	1
694	1
695	1
696	0
697	1
698	1
699	1
700	0
701	0
702	0
703	1
704	1
705	1
706	0
707	1
708	1
709	0
710	1
711	1
712	1
713	0
714	1
715	1
716	1
717	0
718	1
719	0
720	1
721	1
722	1
723	1
724	0
725	1
726	1
727	0
728	1
729	1
730	0
731	1
732	0
733	0
734	1
735	1
736	1
737	1
738	0
739	1
740	1
741	0
742	1
743	1
744	0
745	0
746	1
747	0
748	1
749	0
750	1
751	1
752	0
753	1
754	1
755	1
756	1
757	0
758	0
759	0
760	1
761	1
762	0
763	0
764	0
765	0
766	0
767	0
768	1
769	1
770	1
771	1
772	1
773	0
774	1
775	0
776	1
777	0
778	0
779	0
780	1
781	1
782	1
783	1
784	0
785	1
786	0
787	1
788	1
789	1
790	1
791	1
792	1
793	1
794	0
795	1
796	1
797	1
798	1
799	0
800	1
801	0
802	0
803	0
804	1
805	1
806	1
807	1
808	1
809	1
810	1
811	1
812	1
813	0
814	1
815	0
816	1
817	1
818	1
819	0
820	0
821	1
822	1
823	1
824	1
825	1
826	1
827	1
828	1
829	0
830	1
831	1
832	1
833	1
834	1
835	0
836	1
837	1
838	0
839	0
840	1
841	1
842	1
843	0
844	0
845	1
846	1
847	1
848	1
849	1
850	0
851	1
852	1
853	1
854	0
855	0
856	1
857	1
858	1
859	0
860	0
861	1
862	1
863	1
864	0
865	0
866	0
867	1
868	1
869	0
870	0
871	1
872	1
873	1
874	0
875	0
876	1
877	1
878	1
879	1
880	1
881	0
882	0
883	1
884	0
885	1
886	1
887	0
888	1
889	1
890	0
891	1
892	1
893	1
894	1
895	1
896	1
897	1
898	1
899	1
900	1
901	1
902	0
903	0
904	1
905	0
906	1
907	1
908	1
909	0
910	1
911	1
912	1
913	1
914	1
915	1
916	0
917	1
918	1
919	0
920	1
921	1
922	1
923	1
924	1
925	1
926	1
927	1
928	1
929	1
930	1
931	1
932	1
933	1
934	1
935	1
936	1
937	1
938	1
939	0
940	1
941	0
942	1
943	1
944	1
945	1
946	0
947	0
948	1
949	1
950	1
951	1
952	1
953	1
954	1
955	1
956	0
957	0
958	1
959	0
960	1
961	1
962	1
963	0
964	1
965	1
966	1
967	0
968	0
969	1
970	0
971	1
972	1
973	1
974	1
975	1
976	1
977	0
978	1
979	1
980	1
981	1
982	1
983	1
984	1
985	0
986	1
987	1
988	1
989	1
990	0
991	0
992	1
993	1
994	0
995	1
996	0
997	1
998	0
999	1
1000	1
1001	1
1002	0
1003	1
1004	1
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	1
1014	0
1015	1
1016	0
1017	1
1018	0
1019	0
1020	1
1021	1
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	1
1029	0
1030	1
1031	0
1032	0
1033	1
1034	1
1035	0
1036	0
1037	1
1038	0
1039	0
1040	0
1041	1
1042	0
1043	1
1044	0
1045	0
1046	1
1047	0
1048	0
1049	0
1050	0
1051	0
1052	1
1053	0
1054	0
1055	0
1056	0
1057	1
1058	0
1059	0
1060	0
